Path,Method,Schema,Model Name,Supported,Datasource,Resource
/apps/connect.eda.nokia.com,GET,AppGroup,app_group,true,true,false
/apps/connect.eda.nokia.com/v1,GET,ResourceList,resource_list,true,true,false
/apps/connect.eda.nokia.com/v1/_ui/{pathname},GET,UIResult,,false,false,false
/apps/connect.eda.nokia.com/v1/connectaudits,GET,com.nokia.eda.connect.v1.ConnectAuditList,,false,false,false
/apps/connect.eda.nokia.com/v1/connectinterfaces,GET,com.nokia.eda.connect.v1.ConnectInterfaceList,,false,false,false
/apps/connect.eda.nokia.com/v1/connectpluginactionables,GET,com.nokia.eda.connect.v1.ConnectPluginActionableList,,false,false,false
/apps/connect.eda.nokia.com/v1/connectplugins,GET,com.nokia.eda.connect.v1.ConnectPluginList,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits,DELETE,com.nokia.eda.connect.v1.ConnectAuditList,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits,GET,com.nokia.eda.connect.v1.ConnectAuditList,connect_audit_list,true,true,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits,POST,com.nokia.eda.connect.v1.ConnectAudit,connect_audit,true,false,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/_deleted,GET,com.nokia.eda.connect.v1.ConnectAudit_DeletedResources,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name},DELETE,Status,connect_audit,true,false,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name},GET,com.nokia.eda.connect.v1.ConnectAudit,connect_audit,true,true,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name},PATCH,Patch,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name},PUT,com.nokia.eda.connect.v1.ConnectAudit,connect_audit,true,false,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectaudits/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces,DELETE,com.nokia.eda.connect.v1.ConnectInterfaceList,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces,GET,com.nokia.eda.connect.v1.ConnectInterfaceList,connect_interface_list,true,true,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces,POST,com.nokia.eda.connect.v1.ConnectInterface,connect_interface,true,false,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/_deleted,GET,com.nokia.eda.connect.v1.ConnectInterface_DeletedResources,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name},DELETE,Status,connect_interface,true,false,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name},GET,com.nokia.eda.connect.v1.ConnectInterface,connect_interface,true,true,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name},PATCH,Patch,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name},PUT,com.nokia.eda.connect.v1.ConnectInterface,connect_interface,true,false,true
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name}/_revs,GET,ResourceHistory,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name}/_targets,GET,IntentTargets,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name}/_topology,GET,ResourceTopology,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectinterfaces/{name}/_topology,POST,K8STopologyRequest,,false,false,false
/apps/connect.eda.nokia.com/v1/namespaces/{namespace}/connectpluginactionables,DELETE,com.nokia.eda.connect.v1.ConnectPluginActionableList,,false,false,false
